executable,returncode,n,threads,schedule,real_time_seconds,cpu_time_seconds
blas_like_openmp,0,15000,4,1,33.354745,120.900685
blas_like_openmp,0,15000,4,2,32.656348,120.863505
blas_like_openmp,0,15000,4,3,32.430789,120.686090
blas_like_openmp,0,15000,4,4,32.313461,120.077314
blas_like_openmp,0,15000,8,1,17.707711,126.089760
blas_like_openmp,0,15000,8,2,17.135087,126.678927
blas_like_openmp,0,15000,8,3,17.019878,124.781535
blas_like_openmp,0,15000,8,4,17.371517,126.990747
blas_like_openmp,0,15000,12,1,16.277883,155.652086
blas_like_openmp,0,15000,12,2,15.396767,172.212492
blas_like_openmp,0,15000,12,3,15.583751,170.785678
blas_like_openmp,0,15000,12,4,15.803765,171.136509
blas_like_openmp,0,15000,16,1,17.280593,190.605175
blas_like_openmp,0,15000,16,2,15.779352,220.753675
blas_like_openmp,0,15000,16,3,15.710097,219.720367
blas_like_openmp,0,15000,16,4,15.274975,220.840485
blas_like_openmp,0,15000,20,1,17.699188,244.287113
blas_like_openmp,0,15000,20,2,15.529313,277.092675
blas_like_openmp,0,15000,20,3,15.722737,272.181621
blas_like_openmp,0,15000,20,4,16.347938,275.112935
blas_like_openmp,0,15000,24,1,18.839666,323.844816
blas_like_openmp,0,15000,24,2,17.185426,350.916792
blas_like_openmp,0,15000,24,3,17.192028,354.476000
blas_like_openmp,0,15000,24,4,17.529006,354.852154
blas_like_openmp,0,15000,28,1,19.423032,376.543903
blas_like_openmp,0,15000,28,2,19.256005,403.583793
blas_like_openmp,0,15000,28,3,18.621569,389.537583
blas_like_openmp,0,15000,28,4,18.783645,386.555685
blas_like_openmp,0,15000,32,1,18.464971,395.468465
blas_like_openmp,0,15000,32,2,17.753209,387.642770
blas_like_openmp,0,15000,32,3,17.801020,395.302204
blas_like_openmp,0,15000,32,4,18.603123,399.294451
blas_like_openmp,0,15000,36,1,18.350997,395.285274
blas_like_openmp,0,15000,36,2,18.169907,393.720651
blas_like_openmp,0,15000,36,3,18.414363,389.695559
blas_like_openmp,0,15000,36,4,18.398286,391.048979
blas_like_openmp,0,15000,40,1,18.314035,403.605209
blas_like_openmp,0,15000,40,2,18.017357,401.763813
blas_like_openmp,0,15000,40,3,18.499498,395.322314
blas_like_openmp,0,15000,40,4,18.791856,389.596211
blas_like_openmp,0,15000,4,1,32.831612,120.995153
blas_like_openmp,0,15000,4,2,32.952408,122.158688
blas_like_openmp,0,15000,4,3,32.345093,120.267918
blas_like_openmp,0,15000,4,4,32.675483,120.415986
blas_like_openmp,0,15000,8,1,18.485845,125.775407
blas_like_openmp,0,15000,8,2,16.841880,125.377032
blas_like_openmp,0,15000,8,3,17.329923,128.648222
blas_like_openmp,0,15000,8,4,17.444310,128.807967
blas_like_openmp,0,15000,12,1,19.551473,157.900071
blas_like_openmp,0,15000,12,2,15.692261,165.857332
blas_like_openmp,0,15000,12,3,16.751922,171.155290
blas_like_openmp,0,15000,12,4,15.513176,174.150254
blas_like_openmp,0,15000,16,1,17.200369,200.833699
blas_like_openmp,0,15000,16,2,16.704278,216.677317
blas_like_openmp,0,15000,16,3,16.241575,218.621483
blas_like_openmp,0,15000,16,4,16.362398,220.119375
blas_like_openmp,0,15000,20,1,18.068440,241.751145
blas_like_openmp,0,15000,20,2,16.292491,276.100016
blas_like_openmp,0,15000,20,3,15.329365,274.189043
blas_like_openmp,0,15000,20,4,16.503799,276.978782
blas_like_openmp,0,15000,24,1,18.467616,326.111674
blas_like_openmp,0,15000,24,2,17.170211,352.822837
blas_like_openmp,0,15000,24,3,17.706589,359.737901
