executable,returncode,n,threads,real_time_seconds,cpu_time_seconds
blas_like_openmp,0,15000,1,119.995495,119.979681
blas_like_openmp,0,15000,2,61.098649,121.166968
blas_like_openmp,0,15000,3,41.305486,121.252091
blas_like_openmp,0,15000,4,32.534115,119.777470
blas_like_openmp,0,15000,5,25.681218,124.096364
blas_like_openmp,0,15000,6,21.561097,121.362087
blas_like_openmp,0,15000,7,20.500826,122.269761
blas_like_openmp,0,15000,8,17.530266,124.730582
blas_like_openmp,0,15000,9,18.588140,135.749379
blas_like_openmp,0,15000,10,19.324544,141.507239
blas_like_openmp,0,15000,11,18.067018,143.354172
blas_like_openmp,0,15000,12,18.562861,150.211219
blas_like_openmp,0,15000,13,16.147189,163.692318
blas_like_openmp,0,15000,14,19.950921,172.644248
blas_like_openmp,0,15000,15,16.605435,186.525338
blas_like_openmp,0,15000,16,16.503425,188.736025
blas_like_openmp,0,15000,17,17.132440,200.468129
blas_like_openmp,0,15000,18,16.465235,202.002490
blas_like_openmp,0,15000,19,18.011018,229.526019
blas_like_openmp,0,15000,20,17.674029,242.344582
blas_like_openmp,0,15000,21,17.507204,245.478640
blas_like_openmp,0,15000,22,18.139703,268.553582
blas_like_openmp,0,15000,23,17.206972,288.448980
blas_like_openmp,0,15000,24,18.738353,325.776918
blas_like_openmp,0,15000,25,18.568037,341.425664
blas_like_openmp,0,15000,26,21.010780,362.465084
blas_like_openmp,0,15000,27,19.692095,366.518284
blas_like_openmp,0,15000,28,19.205190,374.476975
blas_like_openmp,0,15000,29,20.240086,392.691299
blas_like_openmp,0,15000,30,18.133178,394.253194
blas_like_openmp,0,15000,31,18.079636,393.701426
blas_like_openmp,0,15000,32,17.735190,391.823531
blas_like_openmp,0,15000,33,17.977034,389.229597
blas_like_openmp,0,15000,34,17.995316,391.871205
blas_like_openmp,0,15000,35,17.862860,390.301800
blas_like_openmp,0,15000,36,17.971868,388.619338
blas_like_openmp,0,15000,37,18.201206,394.313618
blas_like_openmp,0,15000,38,18.451790,390.775722
blas_like_openmp,0,15000,39,18.117756,392.969516
blas_like_openmp,0,15000,40,18.044063,388.277303
blas_like_openmp,0,15000,1,119.608165,119.597982
blas_like_openmp,0,15000,2,64.550641,123.382563
blas_like_openmp,0,15000,3,41.666922,120.609357
blas_like_openmp,0,15000,4,32.789013,121.322286
blas_like_openmp,0,15000,5,25.270725,122.627228
blas_like_openmp,0,15000,6,21.782903,124.343337
blas_like_openmp,0,15000,7,20.995419,123.813588
blas_like_openmp,0,15000,8,17.555774,125.917761
blas_like_openmp,0,15000,9,19.256478,132.118380
blas_like_openmp,0,15000,10,18.857793,140.731897
blas_like_openmp,0,15000,11,17.453828,146.556034
blas_like_openmp,0,15000,12,18.558618,153.827004
blas_like_openmp,0,15000,13,17.046705,165.125495
blas_like_openmp,0,15000,14,20.142684,172.534353
blas_like_openmp,0,15000,15,16.548694,186.150921
blas_like_openmp,0,15000,16,16.325421,184.989067
blas_like_openmp,0,15000,17,17.253994,201.143555
blas_like_openmp,0,15000,18,16.799047,203.790467
blas_like_openmp,0,15000,19,16.866469,215.742959
blas_like_openmp,0,15000,20,17.203367,229.119356
blas_like_openmp,0,15000,21,16.845466,242.032169
blas_like_openmp,0,15000,22,17.284534,274.368226
blas_like_openmp,0,15000,23,17.940883,295.825757
blas_like_openmp,0,15000,24,17.796470,319.209595
blas_like_openmp,0,15000,25,19.994664,348.109961
blas_like_openmp,0,15000,26,18.148824,353.182792
blas_like_openmp,0,15000,27,19.481373,369.175000
blas_like_openmp,0,15000,28,19.963342,377.031113
blas_like_openmp,0,15000,29,20.412137,378.273267
blas_like_openmp,0,15000,30,18.163777,389.626691
blas_like_openmp,0,15000,31,18.068902,393.658363
blas_like_openmp,0,15000,32,18.128933,389.051635
blas_like_openmp,0,15000,33,18.489881,396.808037
blas_like_openmp,0,15000,34,18.547576,399.841463
blas_like_openmp,0,15000,35,18.365790,388.412448
blas_like_openmp,0,15000,36,18.598326,395.463238
blas_like_openmp,0,15000,37,18.043474,391.627369
blas_like_openmp,0,15000,38,18.175603,403.779306
blas_like_openmp,0,15000,39,18.191861,399.973875
blas_like_openmp,0,15000,40,17.457124,392.742594
blas_like_openmp,0,15000,1,119.150895,119.138754
blas_like_openmp,0,15000,2,63.099198,122.411224
blas_like_openmp,0,15000,3,41.654395,121.813425
blas_like_openmp,0,15000,4,33.543649,122.009799
blas_like_openmp,0,15000,5,24.844553,121.456544
blas_like_openmp,0,15000,6,21.000730,121.780471
blas_like_openmp,0,15000,7,21.640015,124.851192
blas_like_openmp,0,15000,8,18.711213,128.122989
blas_like_openmp,0,15000,9,18.353506,134.188788
blas_like_openmp,0,15000,10,18.292053,141.149482
blas_like_openmp,0,15000,11,18.793157,145.236739
blas_like_openmp,0,15000,12,20.236926,160.918256
blas_like_openmp,0,15000,13,18.583929,165.286668
blas_like_openmp,0,15000,14,17.737755,182.096092
blas_like_openmp,0,15000,15,17.226332,191.682540
blas_like_openmp,0,15000,16,17.026431,196.631132
blas_like_openmp,0,15000,17,16.906384,225.306174
blas_like_openmp,0,15000,18,17.417433,212.398943
blas_like_openmp,0,15000,19,17.596637,217.797721
blas_like_openmp,0,15000,20,17.253378,235.118149
blas_like_openmp,0,15000,21,16.889812,266.937220
blas_like_openmp,0,15000,22,18.213909,268.852676
blas_like_openmp,0,15000,23,17.494722,296.930026
blas_like_openmp,0,15000,24,18.134409,312.552787
blas_like_openmp,0,15000,25,18.747711,345.158933
blas_like_openmp,0,15000,26,19.747573,365.001405
blas_like_openmp,0,15000,27,19.968521,366.993071
blas_like_openmp,0,15000,28,19.068976,374.010673
blas_like_openmp,0,15000,29,18.746996,383.372300
blas_like_openmp,0,15000,30,17.850540,397.885834
blas_like_openmp,0,15000,31,17.686285,397.549268
blas_like_openmp,0,15000,32,18.636684,391.017657
blas_like_openmp,0,15000,33,18.293361,405.957499
blas_like_openmp,0,15000,34,18.726594,403.020779
blas_like_openmp,0,15000,35,17.808445,383.361311
blas_like_openmp,0,15000,36,17.810877,399.084311
blas_like_openmp,0,15000,37,17.458817,393.102108
blas_like_openmp,0,15000,38,18.389105,396.805219
blas_like_openmp,0,15000,39,18.209113,390.858338
blas_like_openmp,0,15000,40,18.000558,393.619734
blas_like_openmp,0,15000,1,119.329275,119.314748
blas_like_openmp,0,15000,2,63.114333,122.838579
blas_like_openmp,0,15000,3,41.653789,122.495704
blas_like_openmp,0,15000,4,34.148314,121.803484
blas_like_openmp,0,15000,5,25.307425,121.886740
blas_like_openmp,0,15000,6,21.358112,123.147433
blas_like_openmp,0,15000,7,20.567412,123.426397
blas_like_openmp,0,15000,8,17.824072,125.591967
blas_like_openmp,0,15000,9,18.632862,131.772164
blas_like_openmp,0,15000,10,19.362755,145.472689
blas_like_openmp,0,15000,11,18.910915,151.018428
blas_like_openmp,0,15000,12,18.928644,153.455421
blas_like_openmp,0,15000,13,19.604643,162.743848
blas_like_openmp,0,15000,14,20.381861,176.756262
blas_like_openmp,0,15000,15,16.605956,187.621488
blas_like_openmp,0,15000,16,16.280748,186.793248
blas_like_openmp,0,15000,17,16.966770,203.235275
