executable,returncode,n,real_time_seconds,cpu_time_seconds,gflops
cublas,0,1000,0.402002,0.342073,4.98
cublas,0,2000,0.407786,0.377297,39.24
cublas,0,3000,0.509213,0.481542,106.05
cublas,0,4000,0.782070,0.780871,163.67
cublas,0,5000,1.326398,1.319929,188.48
cublas,0,6000,2.258032,2.256969,191.32
cublas,0,7000,3.402558,3.349044,201.61
cublas,0,8000,4.786207,4.775279,213.95
cublas,0,9000,6.636825,6.634720,219.68
cublas,0,10000,8.921215,8.908158,224.18
cublas,0,11000,11.538774,11.449777,230.70
cublas,0,12000,15.167955,15.085819,227.85
cublas,0,13000,19.532018,19.380186,224.96
cublas,0,14000,23.870971,23.750855,229.90
cublas,0,15000,29.303690,29.146240,230.35
cublas,0,16000,35.189663,35.003221,232.80
cublas,0,17000,42.198518,41.998092,232.85
cublas,0,18000,49.982281,49.713255,233.36
cublas,0,19000,58.353526,58.068368,235.08
cublas,0,20000,68.187847,67.771386,234.65
