executable,returncode,n,cu_block_x,cu_block_y,real_time_seconds,cpu_time_seconds
cuda_1,0,5000,1,1,37.200612,37.010650
cuda_1,0,5000,1,2,19.766890,19.708883
cuda_1,0,5000,1,4,10.103407,10.055515
cuda_1,0,5000,1,8,5.820025,5.776533
cuda_1,0,5000,1,12,4.867360,4.867391
cuda_1,0,5000,1,16,4.586834,4.497940
cuda_1,0,5000,1,20,4.683116,4.683373
cuda_1,0,5000,1,24,4.770319,4.726643
cuda_1,0,5000,1,28,4.783693,4.778726
cuda_1,0,5000,1,32,4.698271,4.649774
cuda_1,0,5000,1,36,5.544110,5.541197
cuda_1,0,5000,1,40,5.516408,5.468401
cuda_1,0,5000,1,44,5.405638,5.406164
cuda_1,0,5000,1,48,5.297248,5.254089
cuda_1,0,5000,1,52,5.303634,5.301301
cuda_1,0,5000,1,56,5.237960,5.199859
cuda_1,0,5000,1,60,5.106661,5.089064
cuda_1,0,5000,1,64,5.048280,5.032836
cuda_1,0,5000,1,72,6.090456,6.052481
cuda_1,0,5000,1,80,5.911386,5.908747
cuda_1,0,5000,1,100,5.964300,5.898790
cuda_1,0,5000,1,128,6.130241,6.129358
cuda_1,0,5000,2,1,21.356230,21.242150
cuda_1,0,5000,2,2,11.157160,11.112181
cuda_1,0,5000,2,4,6.024512,5.977463
cuda_1,0,5000,2,8,3.585805,3.584951
cuda_1,0,5000,2,12,3.191334,3.135188
cuda_1,0,5000,2,16,2.968902,2.967053
cuda_1,0,5000,2,20,3.076794,3.076586
cuda_1,0,5000,2,24,2.997586,2.920541
cuda_1,0,5000,2,28,3.372060,3.371323
cuda_1,0,5000,2,32,3.294183,3.293826
cuda_1,0,5000,2,36,3.660325,3.629765
cuda_1,0,5000,2,40,3.626816,3.621053
cuda_1,0,5000,2,44,3.566198,3.526091
cuda_1,0,5000,2,48,3.520194,3.519459
cuda_1,0,5000,2,52,3.033510,3.033600
cuda_1,0,5000,2,56,3.191113,3.172352
cuda_1,0,5000,2,60,3.291089,3.290064
cuda_1,0,5000,2,64,3.312649,3.299193
cuda_1,0,5000,2,72,3.560837,3.535778
cuda_1,0,5000,2,80,3.928546,3.927362
cuda_1,0,5000,2,100,3.762889,3.706278
cuda_1,0,5000,2,128,3.906103,3.904638
cuda_1,0,5000,4,1,12.599563,12.559031
cuda_1,0,5000,4,2,6.758062,6.710277
cuda_1,0,5000,4,4,3.901489,3.900854
cuda_1,0,5000,4,8,2.681220,2.647510
cuda_1,0,5000,4,12,2.582699,2.582620
cuda_1,0,5000,4,16,2.491854,2.491174
cuda_1,0,5000,4,20,3.155344,3.097177
cuda_1,0,5000,4,24,2.895541,2.892706
cuda_1,0,5000,4,28,2.251641,2.244901
cuda_1,0,5000,4,32,2.056526,1.994682
cuda_1,0,5000,4,36,2.357164,2.356146
cuda_1,0,5000,4,40,2.370048,2.369095
cuda_1,0,5000,4,44,2.191313,2.177467
cuda_1,0,5000,4,48,1.996041,1.992850
cuda_1,0,5000,4,52,2.016377,2.014300
cuda_1,0,5000,4,56,2.093095,2.093160
cuda_1,0,5000,4,60,1.977040,1.926087
cuda_1,0,5000,4,64,1.870837,1.870453
cuda_1,0,5000,4,72,2.143997,2.143520
cuda_1,0,5000,4,80,1.858276,1.857350
cuda_1,0,5000,4,100,2.007029,1.978065
cuda_1,0,5000,4,128,1.808229,1.807593
cuda_1,0,5000,8,1,8.782426,8.739377
cuda_1,0,5000,8,2,4.949042,4.943669
cuda_1,0,5000,8,4,2.846496,2.809469
cuda_1,0,5000,8,8,2.755125,2.754354
cuda_1,0,5000,8,12,2.963415,2.963502
cuda_1,0,5000,8,16,1.921815,1.883450
cuda_1,0,5000,8,20,2.521966,2.521427
cuda_1,0,5000,8,24,2.160211,2.158879
cuda_1,0,5000,8,28,2.099849,2.085973
cuda_1,0,5000,8,32,1.827387,1.781658
cuda_1,0,5000,8,36,2.046736,2.046965
cuda_1,0,5000,8,40,1.884869,1.884846
cuda_1,0,5000,8,44,1.931551,1.906955
cuda_1,0,5000,8,48,1.728851,1.727367
cuda_1,0,5000,8,52,1.891326,1.891288
