executable,returncode,n,cu_block_x,cu_block_y,real_time_seconds,cpu_time_seconds,gflops
cuda_1,0,1000,16,16,0.330069,0.291764,6.06
cuda_1,0,2000,16,16,0.316494,0.316401,50.55
cuda_1,0,3000,16,16,0.528378,0.526171,102.20
cuda_1,0,4000,16,16,0.856941,0.856073,149.37
cuda_1,0,5000,16,16,1.599807,1.564059,156.27
cuda_1,0,6000,16,16,2.543809,2.543631,169.82
cuda_1,0,7000,16,16,3.972332,3.950330,172.69
cuda_1,0,8000,16,16,5.722504,5.713751,178.94
cuda_1,0,9000,16,16,8.184215,8.152004,178.15
cuda_1,0,10000,16,16,11.034426,10.989615,181.25
cuda_1,0,11000,16,16,15.163786,15.111543,175.55
cuda_1,0,12000,16,16,19.935123,19.786463,173.36
cuda_1,0,13000,16,16,26.682710,26.522124,164.68
cuda_1,0,14000,16,16,34.076290,33.842950,161.05
cuda_1,0,15000,16,16,42.411132,42.178426,159.16
cuda_1,0,16000,16,16,50.505262,50.226816,162.20
cuda_1,0,17000,16,16,79.623310,79.132152,123.41
cuda_1,0,18000,16,16,71.585223,71.191242,162.94
cuda_1,0,19000,16,16,117.423267,116.688683,116.83
cuda_1,0,20000,16,16,98.150733,97.554146,163.01
