executable,returncode,n,real_time_seconds,cpu_time_seconds,gflops
cuda_2_32,0,1000,0.307495,0.306560,6.50
cuda_2_32,0,2000,0.327945,0.326258,48.79
cuda_2_32,0,3000,0.477027,0.453634,113.20
cuda_2_32,0,4000,0.848679,0.806191,150.82
cuda_2_32,0,5000,1.410532,1.410286,177.24
cuda_2_32,0,6000,2.445594,2.391500,176.64
cuda_2_32,0,7000,3.646551,3.645971,188.12
cuda_2_32,0,8000,5.221910,5.160368,196.10
cuda_2_32,0,9000,7.384330,7.328278,197.45
cuda_2_32,0,10000,9.973472,9.908227,200.53
cuda_2_32,0,11000,13.414995,13.334934,198.43
cuda_2_32,0,12000,17.290548,17.215696,199.88
cuda_2_32,0,13000,22.287411,22.169378,197.15
cuda_2_32,0,14000,27.251222,27.158207,201.39
cuda_2_32,0,15000,33.581902,33.368683,201.00
cuda_2_32,0,16000,40.299610,40.112018,203.28
cuda_2_32,0,17000,48.641292,48.446327,202.01
cuda_2_32,0,18000,57.268910,57.000693,203.67
cuda_2_32,0,19000,67.202823,66.805063,204.13
cuda_2_32,0,20000,77.610600,77.138400,206.16
