executable,returncode,n,threads,real_time_seconds,cpu_time_seconds
mkl_parallel,0,15000,1,107.995298,107.964953
mkl_parallel,0,15000,2,54.194436,108.333714
mkl_parallel,0,15000,3,36.119465,108.277122
mkl_parallel,0,15000,4,27.162136,108.543230
mkl_parallel,0,15000,5,24.068171,120.222416
mkl_parallel,0,15000,6,18.607273,111.497106
mkl_parallel,0,15000,7,16.823853,117.598807
mkl_parallel,0,15000,8,13.799799,110.203239
mkl_parallel,0,15000,9,19.464343,174.943289
mkl_parallel,0,15000,10,14.123029,140.976953
mkl_parallel,0,15000,11,22.279779,244.793870
mkl_parallel,0,15000,12,14.112881,168.834470
mkl_parallel,0,15000,13,20.759075,269.444688
mkl_parallel,0,15000,14,12.687234,176.419515
mkl_parallel,0,15000,15,17.933309,268.553314
mkl_parallel,0,15000,16,11.615450,185.416178
mkl_parallel,0,15000,17,12.023562,191.924808
mkl_parallel,0,15000,18,13.041452,208.176915
mkl_parallel,0,15000,19,13.933257,222.289460
mkl_parallel,0,15000,20,14.267334,227.724036
mkl_parallel,0,15000,21,13.044158,208.216229
mkl_parallel,0,15000,22,13.351204,213.032773
mkl_parallel,0,15000,23,13.530502,215.995654
mkl_parallel,0,15000,24,13.008440,207.667027
mkl_parallel,0,15000,25,12.311507,196.540540
mkl_parallel,0,15000,26,12.644638,201.828139
mkl_parallel,0,15000,27,12.408677,198.109236
mkl_parallel,0,15000,28,12.663865,202.201108
mkl_parallel,0,15000,29,12.379881,197.572088
mkl_parallel,0,15000,30,12.235925,195.302534
mkl_parallel,0,15000,31,12.766790,203.806318
mkl_parallel,0,15000,32,12.484968,199.271250
mkl_parallel,0,15000,33,11.768806,187.755923
mkl_parallel,0,15000,34,14.782680,236.067220
mkl_parallel,0,15000,35,11.873837,189.542405
mkl_parallel,0,15000,36,13.295552,212.309582
mkl_parallel,0,15000,37,13.350454,213.194021
mkl_parallel,0,15000,38,12.691554,202.575642
mkl_parallel,0,15000,39,12.750791,203.524192
mkl_parallel,0,15000,40,12.091014,193.017077
mkl_parallel,0,15000,1,107.999497,107.972885
mkl_parallel,0,15000,2,55.486455,110.913818
mkl_parallel,0,15000,3,36.244605,108.659613
mkl_parallel,0,15000,4,27.355591,109.317308
mkl_parallel,0,15000,5,22.884191,114.282092
mkl_parallel,0,15000,6,18.170695,108.871987
mkl_parallel,0,15000,7,16.219535,113.363723
mkl_parallel,0,15000,8,13.800465,110.185656
mkl_parallel,0,15000,9,19.993049,179.695261
mkl_parallel,0,15000,10,13.978587,139.544508
