executable,n,threads,real_time_seconds,cpu_time_seconds
orig_openmp,5000,1,47.119168,47.113175
orig_openmp,5000,2,27.047501,54.079975
orig_openmp,5000,3,16.660734,49.962967
orig_openmp,5000,4,13.105471,52.406010
orig_openmp,5000,5,11.906443,59.497379
orig_openmp,5000,6,10.737057,64.396351
orig_openmp,5000,7,9.957743,69.675098
orig_openmp,5000,8,9.191547,73.476811
orig_openmp,5000,9,8.374955,75.333462
orig_openmp,5000,10,9.684083,81.913449
orig_openmp,5000,11,9.170235,81.983495
orig_openmp,5000,12,9.247504,87.392803
orig_openmp,5000,13,8.271746,86.351586
orig_openmp,5000,14,8.143217,92.120242
orig_openmp,5000,15,7.478731,94.345071
orig_openmp,5000,16,7.369789,97.825294
orig_openmp,5000,17,6.935357,99.046223
orig_openmp,5000,18,6.617233,97.970881
orig_openmp,5000,19,6.301386,97.691409
orig_openmp,5000,20,6.192254,102.636254
orig_openmp,5000,21,5.941306,102.552262
orig_openmp,5000,22,5.600120,100.549649
orig_openmp,5000,23,5.444120,103.467034
orig_openmp,5000,24,5.491508,105.391334
orig_openmp,5000,25,5.565514,109.752675
orig_openmp,5000,26,5.415736,110.130125
orig_openmp,5000,27,5.502130,111.625136
orig_openmp,5000,28,5.720106,115.900027
orig_openmp,5000,29,6.091063,119.750667
orig_openmp,5000,30,6.072536,118.926473
orig_openmp,5000,31,6.103008,123.858105
orig_openmp,5000,32,6.017244,128.995506
orig_openmp,5000,33,6.186659,129.717710
orig_openmp,5000,34,6.499631,136.430177
orig_openmp,5000,35,6.535765,136.605112
orig_openmp,5000,36,6.658347,144.909210
orig_openmp,5000,37,6.625020,143.389444
orig_openmp,5000,38,6.977921,151.781512
orig_openmp,5000,39,7.673385,174.937709
orig_openmp,5000,40,7.592001,173.517085
orig_openmp,5000,1,47.752022,47.743930
orig_openmp,5000,2,26.479901,52.941736
orig_openmp,5000,3,17.111162,51.316945
orig_openmp,5000,4,13.062893,52.230435
orig_openmp,5000,5,12.115070,60.540895
orig_openmp,5000,6,10.922374,65.510423
orig_openmp,5000,7,10.042139,70.257129
orig_openmp,5000,8,9.244964,73.917876
orig_openmp,5000,9,8.358409,75.183697
orig_openmp,5000,10,9.425966,80.398106
orig_openmp,5000,11,9.078499,82.692158
orig_openmp,5000,12,8.955420,86.847836
orig_openmp,5000,13,8.198890,85.863917
orig_openmp,5000,14,8.071507,92.142526
orig_openmp,5000,15,7.533498,95.242634
orig_openmp,5000,16,7.308233,97.480058
orig_openmp,5000,17,6.895209,98.517705
orig_openmp,5000,18,6.805130,100.538040
orig_openmp,5000,19,6.418804,98.734673
orig_openmp,5000,20,6.110928,101.080100
orig_openmp,5000,21,5.811898,99.342220
orig_openmp,5000,22,5.689881,103.432047
orig_openmp,5000,23,5.512301,105.088451
orig_openmp,5000,24,5.600579,108.250478
orig_openmp,5000,25,5.469793,107.847128
orig_openmp,5000,26,5.806148,111.354743
orig_openmp,5000,27,5.479337,113.049530
orig_openmp,5000,28,6.232051,121.037699
orig_openmp,5000,29,5.850935,122.932367
orig_openmp,5000,30,5.753361,118.071442
orig_openmp,5000,31,6.070304,129.902561
orig_openmp,5000,32,6.279912,131.569314
orig_openmp,5000,33,6.252231,129.964517
orig_openmp,5000,34,6.409581,134.331706
orig_openmp,5000,35,6.635657,141.870931
orig_openmp,5000,36,6.879947,151.694519
orig_openmp,5000,37,7.823689,173.337995
orig_openmp,5000,38,7.248562,160.849635
orig_openmp,5000,39,7.910464,176.651151
orig_openmp,5000,40,8.420288,191.249930
orig_openmp,5000,1,47.900810,47.892820
orig_openmp,5000,2,25.677979,51.339509
orig_openmp,5000,3,17.131167,51.380221
orig_openmp,5000,4,13.246037,52.959853
orig_openmp,5000,5,11.912662,59.538032
orig_openmp,5000,6,11.167823,66.956161
orig_openmp,5000,7,10.003929,69.993909
orig_openmp,5000,8,9.402678,75.141519
orig_openmp,5000,9,8.624545,77.016282
orig_openmp,5000,10,9.411486,82.765789
orig_openmp,5000,11,9.211057,82.696169
orig_openmp,5000,12,8.705619,85.286978
orig_openmp,5000,13,8.270070,86.642243
orig_openmp,5000,14,8.163690,94.483367
orig_openmp,5000,15,8.003220,96.827332
orig_openmp,5000,16,7.464389,99.671383
