executable,n,real_time_seconds,cpu_time_seconds
const_icc,500,0.007114,0.007102
const_icc,512,0.005214,0.005201
const_icc,1000,0.049575,0.049553
const_icc,1024,0.039395,0.039379
const_icc,2000,0.314662,0.314624
const_icc,2048,0.483428,0.483403
const_icc,3000,1.363775,1.363623
const_icc,4000,2.535632,2.535448
const_icc,4096,4.061187,4.060512
const_icc,5000,7.591072,7.590386
const_icc,6000,8.601382,8.600617
const_icc,7000,20.906952,20.905163
const_icc,8000,20.041924,20.040076
const_icc,8192,37.973730,37.969604
const_icc,9000,44.080999,44.077167
const_icc,10000,38.621732,38.618030
const_icc,11000,67.174491,67.168309
const_icc,12000,68.150797,68.144762
const_icc,13000,108.511872,108.500469
const_icc,14000,105.713774,105.705445
const_icc,15000,174.781562,174.761228
const_icc,16000,161.410158,161.394714
const_icc,16384,281.967622,281.928465
const_icc,17000,245.460697,245.434434
const_icc,18000,233.160310,233.128334
const_icc,19000,348.971615,348.924999
const_icc,20000,324.605494,324.561954
const_icx,500,0.006021,0.006016
const_icx,512,0.005365,0.005357
const_icx,1000,0.045164,0.045146
const_icx,1024,0.041032,0.041017
const_icx,2000,0.439890,0.439833
const_icx,2048,0.354860,0.354788
const_icx,3000,1.209897,1.209789
const_icx,4000,2.862559,2.862324
const_icx,4096,4.892246,4.891708
const_icx,5000,5.586270,5.585715
const_icx,6000,9.601847,9.600828
const_icx,7000,15.317075,15.315492
const_icx,8000,16.580636,16.578923
const_icx,8192,39.902690,39.897555
const_icx,9000,32.434431,32.430993
const_icx,10000,44.478844,44.475701
const_icx,11000,59.134418,59.129197
const_icx,12000,76.872017,76.864481
const_icx,13000,97.703156,97.693816
const_icx,14000,122.091149,122.079290
const_icx,15000,150.133427,150.119099
const_icx,16000,160.995670,160.977271
const_icx,16384,332.297671,332.247761
const_icx,17000,219.154393,219.131117
const_icx,18000,303.994106,303.961759
const_icx,19000,320.201563,320.165749
const_icx,20000,366.539997,366.497255
icc_maximum_aligned,500,0.007366,0.007355
icc_maximum_aligned,512,0.011995,0.011979
icc_maximum_aligned,1000,0.057025,0.056998
icc_maximum_aligned,1024,0.060102,0.060077
icc_maximum_aligned,2000,0.504468,0.504396
icc_maximum_aligned,2048,0.676200,0.676107
icc_maximum_aligned,3000,1.407573,1.407414
icc_maximum_aligned,4096,5.086227,5.085593
icc_maximum_aligned,5000,6.520154,6.519499
icc_maximum_aligned,6000,11.254266,11.253082
icc_maximum_aligned,7000,17.812946,17.811366
icc_maximum_aligned,8000,26.758794,26.756082
icc_maximum_aligned,8192,42.922084,42.917156
icc_maximum_aligned,9000,37.879695,37.875858
icc_maximum_aligned,10000,52.206767,52.201725
icc_maximum_aligned,12000,90.345566,90.336367
icc_maximum_aligned,15000,175.374823,175.354676
icc_maximum_aligned,16384,362.924388,362.873547
icc_maximum_aligned,16000,214.592864,214.568880
icc_maximum_aligned,17000,266.040790,266.006588
icc_maximum_aligned,18000,311.178546,311.128611
icc_maximum_aligned,19000,390.859700,390.806313
icc_maximum_aligned,20000,427.466765,427.384836
icc_maximum_aligned,11000,70.149379,70.141752
icc_maximum_aligned,13000,121.964652,121.952647
icc_maximum_aligned,14000,143.579638,143.565642
icx_maximum_aligned,500,0.007691,0.007678
icx_maximum_aligned,512,0.018908,0.018893
icx_maximum_aligned,1000,0.053417,0.053373
icx_maximum_aligned,1024,0.074167,0.074139
icx_maximum_aligned,2000,0.430190,0.430143
icx_maximum_aligned,2048,0.540008,0.539914
icx_maximum_aligned,3000,1.200097,1.199932
icx_maximum_aligned,4096,11.217319,11.216245
icx_maximum_aligned,5000,5.550018,5.549521
icx_maximum_aligned,6000,9.545530,9.544490
icx_maximum_aligned,7000,15.185133,15.183686
icx_maximum_aligned,8000,22.644607,22.642547
icx_maximum_aligned,8192,106.899537,106.888499
icx_maximum_aligned,9000,32.250319,32.247015
icx_maximum_aligned,10000,44.227462,44.223001
icx_maximum_aligned,12000,76.347886,76.340734
icx_maximum_aligned,15000,174.963069,174.947189
icx_maximum_aligned,16384,820.693313,820.589098
icx_maximum_aligned,16000,258.116807,258.075890
icx_maximum_aligned,17000,230.699533,230.670403
icx_maximum_aligned,18000,258.144798,258.110325
icx_maximum_aligned,19000,303.453532,303.414889
icx_maximum_aligned,20000,376.129086,376.069842
icx_maximum_aligned,11000,72.257442,72.251021
icx_maximum_aligned,13000,97.868598,97.858837
icx_maximum_aligned,14000,145.033284,145.019069

