executable,n,verify,real_time_seconds,cpu_time_seconds
blas_MC64_NC64_KC64,5000,True,5.455303,5.454247
blas_MC64_NC64_KC128,5000,True,5.440181,5.437438
blas_MC64_NC64_KC256,5000,True,5.360372,5.359461
blas_MC64_NC64_KC512,5000,True,5.146780,5.146136
blas_MC64_NC128_KC64,5000,True,4.913125,4.912387
blas_MC64_NC128_KC128,5000,True,4.825707,4.825072
blas_MC64_NC128_KC256,5000,True,4.875020,4.874495
blas_MC64_NC128_KC512,5000,True,4.754402,4.753832
blas_MC128_NC64_KC64,5000,True,5.497953,5.496960
blas_MC128_NC64_KC128,5000,True,5.379750,5.379088
blas_MC128_NC64_KC256,5000,True,5.471189,5.470344
blas_MC128_NC64_KC512,5000,True,5.472747,5.472155
blas_MC128_NC128_KC64,5000,True,4.902023,4.901262
blas_MC128_NC128_KC128,5000,True,4.808963,4.808339
blas_MC128_NC128_KC256,5000,True,4.863931,4.863226
blas_MC128_NC128_KC512,5000,True,4.770206,4.769682
blas_MC128_NC256_KC64,5000,True,4.537945,4.537357
blas_MC128_NC256_KC128,5000,True,4.497511,4.496797
blas_MC128_NC256_KC256,5000,True,4.486569,4.486032
blas_MC256_NC128_KC64,5000,True,4.945976,4.945206
blas_MC256_NC128_KC128,5000,True,4.851152,4.850390
blas_MC256_NC128_KC256,5000,True,4.943290,4.942680
blas_MC256_NC256_KC64,5000,True,4.526793,4.526113
blas_MC256_NC256_KC128,5000,True,4.507278,4.506760
blas_MC256_NC256_KC256,5000,True,4.603677,4.603137
blas_MC256_NC512_KC64,5000,True,4.379844,4.379226
blas_MC256_NC512_KC128,5000,True,4.234865,4.234347
blas_MC512_NC256_KC64,5000,True,4.567624,4.566945
blas_MC512_NC256_KC128,5000,True,4.487284,4.486741
blas_MC512_NC512_KC64,5000,True,4.361836,4.361161
blas_MC512_NC512_KC128,5000,True,4.370572,4.369966
