executable,n,real_time_seconds,cpu_time_seconds
openblas_seq,500,0.005863,0.093246
openblas_seq,512,0.005445,0.179035
openblas_seq,1000,0.038455,0.862885
openblas_seq,1024,0.040325,0.950636
openblas_seq,2000,0.266042,0.265907
openblas_seq,2048,0.283312,0.283276
openblas_seq,3000,0.883351,0.883238
openblas_seq,4000,2.094398,2.094150
openblas_seq,4096,2.247896,2.247639
openblas_seq,5000,4.406317,4.405864
openblas_seq,6000,7.045063,7.044435
openblas_seq,7000,11.150479,11.149428
openblas_seq,8000,16.602429,16.600679
openblas_seq,8192,17.829951,17.828532
openblas_seq,9000,23.529468,23.527275
openblas_seq,10000,32.458955,32.456206
openblas_seq,11000,42.917044,42.913233
openblas_seq,12000,55.909188,55.903432
openblas_seq,13000,72.079391,72.068380
openblas_seq,14000,90.078989,90.068864
openblas_seq,15000,109.035529,109.023066
openblas_seq,16000,133.679460,133.654623
openblas_seq,16384,150.487395,150.471311
openblas_seq,17000,159.282936,159.261845
openblas_seq,18000,190.810865,190.786677
openblas_seq,19000,221.364527,221.341348
openblas_seq,20000,259.696142,259.665754
blas_like,500,0.005463,0.005452
blas_like,512,0.005757,0.005755
blas_like,1000,0.037587,0.037578
blas_like,1024,0.040432,0.040421
blas_like,2000,0.293038,0.292998
blas_like,2048,0.319123,0.319038
blas_like,3000,0.989258,0.988817
blas_like,4000,2.305862,2.305616
blas_like,4096,2.529610,2.528474
blas_like,5000,4.556162,4.555594
blas_like,6000,7.958857,7.957749
blas_like,7000,13.126075,13.124670
blas_like,8000,18.497374,18.494644
blas_like,8192,20.255649,20.252782
blas_like,9000,26.790720,26.786659
blas_like,10000,36.864789,36.859060
blas_like,11000,48.729868,48.722757
blas_like,12000,63.614134,63.607888
blas_like,13000,79.120247,79.110914
blas_like,14000,100.905914,100.896771
blas_like,15000,123.927211,123.912610
blas_like,16000,150.646412,150.646412
blas_like,16384,165.199161,165.199161
blas_like,17000,182.853586,182.853586
blas_like,18000,215.091456,215.091456
blas_like,19000,251.711273,251.711273
blas_like,20000,292.237064,292.237064
