executable,n,real_time_seconds,cpu_time_seconds
gcc_0,256,0.036934,0.036918
gcc_0,512,0.271099,0.271029
gcc_0,1024,2.144399,2.144143
gcc_0,2048,17.287508,17.284601
gcc_0,4096,137.404701,137.388100
gcc_0,5000,250.731402,250.696095
gcc_0,8192,1098.694810,1098.565617
gcc_0,10000,1987.533587,1987.318435
icc_0,256,0.051855,0.051836
icc_0,512,0.410063,0.410010
icc_0,1024,3.261564,3.261235
icc_0,2048,26.048878,26.045428
icc_0,4096,208.092007,208.070395
icc_0,5000,378.429497,378.392116
icc_0,8192,1664.055102,1663.896203
icc_0,10000,3028.552122,3028.185005
icx_0,256,0.031354,0.031314
icx_0,512,0.245407,0.245357
icx_0,1024,1.922010,1.921792
icx_0,2048,15.453374,15.450938
icx_0,4096,123.896752,123.881630
icx_0,5000,225.338767,225.315390
icx_0,8192,984.467237,984.352222
icx_0,10000,1798.312287,1798.102847
