executable,n,real_time_seconds,cpu_time_seconds
icc_maximum,256,0.001801,0.001789
icc_maximum,512,0.011657,0.011650
icc_maximum,1024,0.095302,0.095238
icc_maximum,2048,0.745813,0.745731
icc_maximum,4096,6.305825,6.304898
icc_maximum,5000,8.781022,8.779884
icc_maximum,8192,58.641883,58.633480
icc_maximum,10000,70.260463,70.253875
icx_maximum,256,0.001539,0.001530
icx_maximum,512,0.018935,0.018860
icx_maximum,1024,0.123604,0.123567
icx_maximum,2048,0.971510,0.971361
icx_maximum,4096,15.218029,15.216455
icx_maximum,5000,8.212108,8.211177
icx_maximum,8192,132.937222,132.919930
icx_maximum,10000,65.507490,65.498656
