executable,n,real_time_seconds,cpu_time_seconds
icc_maximum,500,0.009092,0.009081
icc_maximum,512,0.011765,0.011745
icc_maximum,1000,0.071002,0.070966
icc_maximum,1024,0.082213,0.082153
icc_maximum,2000,0.653693,0.653574
icc_maximum,2048,0.756813,0.756735
icc_maximum,3000,1.901455,1.901268
icc_maximum,4096,6.296484,6.295661
icc_maximum,5000,9.901244,9.900231
icc_maximum,6000,15.105528,15.104142
icc_maximum,7000,24.112609,24.110769
icc_maximum,8000,36.065079,36.061582
icc_maximum,8192,58.920098,58.912092
icc_maximum,9000,51.007649,51.002861
icc_maximum,10000,70.019797,70.011923
icc_maximum,12000,120.760192,120.746974
icc_maximum,15000,275.428603,275.403726
icc_maximum,16384,469.013560,468.955057
icx_maximum,500,0.011969,0.011959
icx_maximum,512,0.017718,0.017707
icx_maximum,1000,0.070247,0.070209
icx_maximum,1024,0.121659,0.121632
icx_maximum,2000,0.538001,0.537954
icx_maximum,2048,0.987386,0.987235
icx_maximum,3000,2.194487,2.194233
icx_maximum,4096,15.384030,15.382679
icx_maximum,5000,8.187280,8.186436
icx_maximum,6000,14.316888,14.315303
icx_maximum,7000,22.006173,22.003896
icx_maximum,8000,36.798581,36.795127
icx_maximum,8192,131.228135,131.215667
icx_maximum,9000,60.225601,60.218951
icx_maximum,10000,66.610334,66.601320
icx_maximum,12000,123.011651,123.001420
icx_maximum,15000,272.569747,272.538916
icx_maximum,16384,965.620853,965.500747
icc_maximum,16000,289.485825,289.453488
icc_maximum,17000,384.988754,384.939220
icc_maximum,18000,407.722460,407.676574
icc_maximum,19000,478.901065,478.845134
icc_maximum,20000,559.316914,559.243810
icx_maximum,16000,436.167230,436.109926
icx_maximum,17000,321.512478,321.476950
icx_maximum,18000,459.526958,459.484919
icx_maximum,19000,484.446887,484.388588
icx_maximum,20000,562.250011,562.188931
icc_maximum,11000,94.328558,94.321321
icc_maximum,13000,154.275046,154.259377
icc_maximum,14000,200.603481,200.578612
icx_maximum,11000,86.343791,86.335996
icx_maximum,13000,179.636007,179.616467
icx_maximum,14000,177.774921,177.756935
