executable,n,real_time_seconds,cpu_time_seconds
const_icc,500,0.007114,0.007102
const_icc,512,0.005214,0.005201
const_icc,1000,0.049575,0.049553
const_icc,1024,0.039395,0.039379
const_icc,2000,0.314662,0.314624
const_icc,2048,0.483428,0.483403
const_icc,3000,1.363775,1.363623
const_icc,4000,2.535632,2.535448
const_icc,4096,4.061187,4.060512
const_icc,5000,7.591072,7.590386
const_icc,6000,8.601382,8.600617
const_icc,7000,20.906952,20.905163
const_icc,8000,20.041924,20.040076
const_icc,8192,37.973730,37.969604
const_icc,9000,44.080999,44.077167
const_icc,10000,38.621732,38.618030
const_icc,11000,67.174491,67.168309
const_icc,12000,68.150797,68.144762
const_icc,13000,108.511872,108.500469
const_icc,14000,105.713774,105.705445
const_icc,15000,174.781562,174.761228
const_icc,16000,161.410158,161.394714
const_icc,16384,281.967622,281.928465
const_icc,17000,245.460697,245.434434
const_icc,18000,233.160310,233.128334
const_icc,19000,348.971615,348.924999
const_icc,20000,324.605494,324.561954
