executable,n,real_time_seconds,cpu_time_seconds
const_icx,500,0.006021,0.006016
const_icx,512,0.005365,0.005357
const_icx,1000,0.045164,0.045146
const_icx,1024,0.041032,0.041017
const_icx,2000,0.439890,0.439833
const_icx,2048,0.354860,0.354788
const_icx,3000,1.209897,1.209789
const_icx,4000,2.862559,2.862324
const_icx,4096,4.892246,4.891708
const_icx,5000,5.586270,5.585715
const_icx,6000,9.601847,9.600828
const_icx,7000,15.317075,15.315492
const_icx,8000,16.580636,16.578923
const_icx,8192,39.902690,39.897555
const_icx,9000,32.434431,32.430993
const_icx,10000,44.478844,44.475701
const_icx,11000,59.134418,59.129197
const_icx,12000,76.872017,76.864481
const_icx,13000,97.703156,97.693816
const_icx,14000,122.091149,122.079290
const_icx,15000,150.133427,150.119099
const_icx,16000,160.995670,160.977271
const_icx,16384,332.297671,332.247761
const_icx,17000,219.154393,219.131117
const_icx,18000,303.994106,303.961759
const_icx,19000,320.201563,320.165749
const_icx,20000,366.539997,366.497255
